Employee_ID,Department_Category,Business_Title,Tenure_Years,Engagement_Score,Attrition_Risk_Score,Risk_Category,Attrited,,,,,,,,,,,,,,,,,,
EMP_001,Frontline_Program,Manager,1.2,0.55,0.82,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_002,Administrative_Support,Coordinator,3.5,0.6,0.15,Low Risk,0,,,,,,,,,,,,,,,,,,
EMP_003,Frontline_Program,Case_Worker,0.8,0.5,0.75,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_004,Administrative_Support,Director,8.2,0.65,0.05,Low Risk,0,,,,,,,,,,,,,,,,,,
EMP_005,Frontline_Program,Supervisor,2.1,0.48,0.68,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_006,Administrative_Support,Analyst,5.5,0.62,0.12,Low Risk,0,,,,,,,,,,,,,,,,,,
EMP_007,Frontline_Program,Case_Worker,0.5,0.45,0.88,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_008,Administrative_Support,Manager,6.8,0.68,0.08,Low Risk,0,,,,,,,,,,,,,,,,,,
EMP_009,"Frontline_Program,",Coordinator,1.8,0.52,0.72,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_010,Administrative_Support,Specialist,4.2,0.61,0.18,Low Risk,0,,,,,,,,,,,,,,,,,,
EMP_011,Frontline_Program,Case_Worker,0.3,0.4,0.92,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_012,Administrative_Support,Officer,7.1,0.66,0.06,Low Risk,0,,,,,,,,,,,,,,,,,,
EMP_013,Frontline_Program,Manager,2.5,0.5,0.65,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_014,Administrative_Support,Coordinator,9.3,0.69,0.03,Low Risk,0,,,,,,,,,,,,,,,,,,
EMP_015,Frontline_Program,Case_Worker,1.1,0.48,0.78,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_016,Administrative_Support,Specialist,3.8,0.63,0.14,Low Risk,0,,,,,,,,,,,,,,,,,,
EMP_017,Frontline_Program,Supervisor,0.7,0.46,0.85,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_018,Administrative_Support,Director,10.2,0.7,0.02,Low Risk,0,,,,,,,,,,,,,,,,,,
EMP_019,Frontline_Program,Case_Worker,2.2,0.51,0.7,High Risk,1,,,,,,,,,,,,,,,,,,
EMP_020,Administrative_Support,Analyst,6.5,0.64,0.1,Low Risk,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
